soil_type	season	state	crop
Clayey	Rabi	Nagaland	Pulses
Clayey	Rabi	Goa	Rice
Black	Zaid	Tripura	Sorghum
Sandy	Zaid	Sikkim	Watermelon
Mountain	Kharif	Jammu and Kashmir	Barley
Alluvial	Zaid	Arunachal Pradesh	Wheat
Loamy	Zaid	Sikkim	Barley
Alluvial	Rabi	West Bengal	Vegetables
Clayey	Kharif	Haryana	Rice
Alluvial	Rabi	Himachal Pradesh	Rice
Loamy	Kharif	Manipur	Wheat
Alluvial	Rabi	Sikkim	Vegetables
Laterite	Zaid	Karnataka	Tea
Clayey	Zaid	Maharashtra	Mustard
Laterite	Kharif	Odisha	Rubber
Alluvial	Kharif	Mizoram	Rice
Clayey	Zaid	Meghalaya	Rice
Black	Kharif	Arunachal Pradesh	Cotton
Loamy	Rabi	Arunachal Pradesh	Vegetables
Red	Rabi	Sikkim	Turmeric
Laterite	Zaid	Rajasthan	Cashew
Alluvial	Rabi	Goa	Sugarcane
Sandy	Kharif	Manipur	Chickpea
Laterite	Zaid	Gujarat	Rubber
Sandy	Rabi	Andhra Pradesh	Maize
Clayey	Kharif	Haryana	Rice
Laterite	Kharif	Karnataka	Arecanut
Clayey	Rabi	Maharashtra	Vegetables
Loamy	Rabi	Delhi	Sugarcane
Sandy	Zaid	Delhi	Maize
Sandy	Rabi	Haryana	Muskmelon
Mountain	Rabi	Madhya Pradesh	Tea
Mountain	Zaid	Mizoram	Potato
Laterite	Kharif	Delhi	Coffee
Black	Kharif	Andhra Pradesh	Groundnut
Clayey	Zaid	Assam	Vegetables
Arid	Kharif	Madhya Pradesh	Barley
Loamy	Kharif	Haryana	Rice
Mountain	Rabi	Manipur	Millet
Laterite	Rabi	Jammu and Kashmir	Coffee
Red	Rabi	Delhi	Turmeric
Laterite	Rabi	Haryana	Arecanut
Mountain	Rabi	Jharkhand	Millet
Arid	Kharif	Sikkim	Mustard
Alluvial	Kharif	Tripura	Rice
Sandy	Rabi	West Bengal	Maize
Loamy	Zaid	Mizoram	Jute
Laterite	Zaid	Delhi	Coffee
Arid	Kharif	Assam	Cumin
Black	Kharif	Punjab	Castor
Sandy	Zaid	Jammu and Kashmir	Muskmelon
Arid	Kharif	West Bengal	Cumin
Alluvial	Zaid	Rajasthan	Wheat
Sandy	Zaid	Assam	Muskmelon
Arid	Kharif	Rajasthan	Mustard
Clayey	Kharif	Arunachal Pradesh	Rice
Sandy	Kharif	Arunachal Pradesh	Muskmelon
Clayey	Kharif	Jharkhand	Pea
Red	Kharif	Tripura	Turmeric
Black	Kharif	Punjab	Sorghum
Clayey	Zaid	Jharkhand	Pea
Loamy	Kharif	Jharkhand	Rice
Black	Rabi	Chhattisgarh	Castor
Black	Zaid	West Bengal	Groundnut
Black	Kharif	Tamil Nadu	Groundnut
Mountain	Kharif	Assam	Tea
Sandy	Kharif	Delhi	Sunflower
Sandy	Zaid	Maharashtra	Wheat
Arid	Kharif	Kerala	Castor
Clayey	Rabi	Meghalaya	Vegetables
Red	Kharif	Haryana	Chilli
Loamy	Kharif	Rajasthan	Wheat
Mountain	Zaid	Madhya Pradesh	Apple
Mountain	Zaid	Uttar Pradesh	Apple
Loamy	Zaid	Punjab	Wheat
Mountain	Rabi	Karnataka	Potato
Mountain	Kharif	Gujarat	Barley
Sandy	Zaid	Assam	Sunflower
Arid	Rabi	Bihar	Mustard
Black	Kharif	Jammu and Kashmir	Sorghum
Loamy	Rabi	Himachal Pradesh	Barley
Sandy	Kharif	Madhya Pradesh	Maize
Arid	Rabi	Kerala	Castor
Sandy	Zaid	Andhra Pradesh	Sunflower
Loamy	Zaid	Assam	Barley
Arid	Kharif	Jharkhand	Barley
Mountain	Rabi	Meghalaya	Millet
Black	Zaid	Sikkim	Cotton
